Year,Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,FolkReligions,OtherReligions,Jews,AllReligions
2010,World,All Countries,2168330000,1599700000,1131150000,1032210000,487760000,404690000,58150000,13860000,6895850000
2010,North America,All Countries,266630000,3480000,59040000,2250000,3860000,1020000,2200000,6040000,344530000
2010,Latin America-Caribbean,All Countries,531280000,840000,45390000,660000,410000,10040000,990000,470000,590080000
2010,Europe,All Countries,553280000,43470000,139890000,1380000,1350000,870000,890000,1420000,742550000
2010,Middle East-North Africa,All Countries,12710000,317070000,2100000,1720000,500000,1060000,230000,5630000,341020000
2010,Sub-Saharan Africa,All Countries,517320000,248420000,26240000,1560000,160000,27010000,1920000,100000,822730000
2010,Asia-Pacific,All Countries,287100000,986420000,858490000,1024630000,481480000,364690000,51920000,200000,4054940000
2020,World,All Countries,2382750000,1907110000,1193750000,1161440000,506990000,429640000,60990000,14660000,7657330000
2020,North America,All Countries,277270000,4890000,71270000,3120000,4540000,1300000,3200000,6120000,371700000
2020,Latin America-Caribbean,All Countries,585850000,890000,52430000,690000,440000,11540000,1070000,480000,653390000
2020,Europe,All Countries,534970000,50470000,148410000,1710000,1670000,1050000,970000,1370000,740600000
2020,Middle East-North Africa,All Countries,14600000,381140000,2480000,2350000,760000,1350000,250000,6380000,409310000
2020,Sub-Saharan Africa,All Countries,650240000,329740000,31330000,1650000,170000,33440000,2280000,90000,1048930000
2020,Asia-Pacific,All Countries,319830000,1139990000,887840000,1151920000,499410000,380970000,53220000,210000,4433390000